aba: 阿爸
beizuo: 碑座
beijie: 碑碣、被劫
beiai: 悲哀
beican: 悲惨、钡餐
beichou: 悲愁
beidao: 悲悼、被盗
beifen: 悲愤、辈分、备份
beige: 悲歌
beiguan: 悲观
beihao: 悲号、备好
beiju: 悲剧
beiku: 悲苦
beiliang: 悲凉
beiqi: 悲戚、悲凄、悲泣、北齐、背起、背弃、背鳍、备齐
beiqie: 悲切、卑怯
beishang: 悲伤、北上、背上
beisuan: 悲酸
beitan: 悲叹
beitong: 悲痛、悲恸
beiwu: 悲呜
beixin: 悲辛、背心
beiyan: 悲咽、钡盐
beizhuang: 悲壮
beichuang: 悲怆
beibi: 卑鄙、被逼
beici: 卑辞
bei*: 卑*
beilie: 卑劣
beiwei: 卑微、北纬、北魏
beixia: 卑下、背下
beibian: 北边
beibu: 北部、背部、被捕
beizhao: 北朝、背着、被罩
beida: 北大
beidou: 北斗、背篼
beifang: 北方
beifei: 北非
beifeng: 北风
beigua: 北瓜
beiguo: 北国、背过
beihai: 北海、被害
beihuo: 北货
beijiang: 北疆
beijing: 北京、背景
beimei: 北美
beimian: 北面、背面、被面
beiou: 北欧
beiping: 北平
beiqu: 北曲
beisong: 北宋、背诵
beixian: 北线
beiyang: 北洋
beiyue: 北约
beizhou: 北周
beichu: 辈出
beibao: 背包
beidai: 背带
beifu: 背负、被俘、被服
beiguang: 背光
beihou: 背后
beijiao: 背角
beikuang: 背筐
beili: 背离、背理、被里
beilou: 背篓
beipan: 背叛、被判
beiren: 背人、被人
beishu: 背书、倍数
beiyin: 背阴
beiying: 背影
beizhai: 背债
beidiao: 贝雕
beining: 贝宁
beicha: 被查、备查
beidong: 被动
beigao: 被告
beikong: 被控
beikou: 被扣
beinan: 被难、北南
beini: 被你、悖逆
beipo: 被迫
beiru: 被褥
beisha: 被杀
beita: 被他、被她
beitao: 被套
beitou: 被头、被偷
beiwo: 被窝、被我、被卧
beiyi: 被疑
beizha: 被炸
beizhe: 被这
benan: 本案、苯胺
benba: 本把
benban: 本版
benbao: 本报
benben: 本本
benbu: 本埠、本部
benchang: 本厂
benci: 本次
bencun: 本村
bendang: 本党
bendao: 本岛
bendi: 本地
bendui: 本队
benfei: 本非
benfen: 本分、苯酚
bengai: 本该
benguan: 本官
benguo: 本国
benhua: 本画
benji: 本纪、本级、本季
benjie: 本街、本届
benjin: 本金
benjiu: 本就
benkan: 本刊
benke: 本科
benlai: 本来
benlei: 本垒
benli: 本利
benling: 本领
benmin: 本民
benming: 本名、奔命
benmo: 本末
benneng: 本能
benqian: 本钱
benren: 本人、笨人
bense: 本色
benshen: 本身
benshi: 本事、本是、本市
benshu: 本书
benshuai: 本帅
bentai: 本台
benti: 本题、本体
bentian: 本田
bentu: 本土
benwei: 本位
benwen: 本文
benxi: 本息
benxian: 本县
benxiang: 本相、本想、奔向、本乡
benxiao: 本校
benxing: 本行、本性
benye: 本页
benyi: 本已、本意、本义
benyuan: 本原、本源、本愿、本院
benzhen: 本镇
benzhi: 本职、本质
benzhong: 本种、笨重
benzhou: 本周
benzhao: 本着
benzi: 本子、本字
benzu: 本族、本组
bendan: 笨蛋
benhuo: 笨活
benzhu: 笨猪
benzhuo: 笨拙
bengdiao: 崩掉
bengkui: 崩溃
bengle: 崩了
benglie: 崩裂、迸裂
bengta: 崩塌
bengtan: 崩坍
bengguan: 甭管
bengshuo: 甭说
bengxiang: 甭想
bengru: 泵入
bengyou: 泵油
bengchu: 蹦出、迸出
bengchuang: 蹦床
bengtiao: 蹦跳
bengfa: 迸发
bengjian: 迸溅
bichu: 逼出、笔触、壁橱
bide: 逼得、必得
bigong: 逼供、笔供
bihun: 逼婚
bijin: 逼进、逼近
biming: 逼命、笔名、毙命
bipo: 逼迫
biren: 逼人、鄙人
bishi: 逼视、比试、鄙视、笔势、笔试、闭市
bita: 逼他、逼她、比他、比她
biwei: 逼为
biwen: 逼问
bizhen: 逼真
bikong: 鼻孔、碧空
biliang: 鼻梁、比量
bimao: 鼻毛
biqiang: 鼻腔
bisai: 鼻塞、比赛、闭塞
bisi: 鼻饲
bisuan: 鼻酸、笔算
biti: 鼻涕、笔体
bitou: 鼻头、笔头
bixi: 鼻息
biyan: 鼻炎、闭眼
biyin: 鼻音
bizi: 鼻子
bizu: 鼻祖
bidou: 鼻窦
bibi: 比比
bifang: 比方
bifen: 比分
bihua: 比划、笔画、笔划、壁画
biji: 比及、笔迹、笔记、避忌
bijia: 比价、笔架
bijian: 比肩、鄙见
bijiao: 比较
bili: 比例、笔立、笔力、壁立、臂力
bilin: 比邻
bilv: 比率、碧绿
bimei: 比美
bini: 比拟、比你
bipei: 比配
biqi: 比起、鄙弃、闭气
bire: 比热
biru: 比如
bishao: 比绍
bisuo: 比索
biwo: 比我
biwu: 比武、笔误
biyi: 比翼、鄙意、笔译、鄙夷、裨益
biyu: 比喻、碧玉、避雨
bizhao: 比照、比着
bizhi: 比值、笔直、笔致、币值、币制、壁纸
bizhong: 比重、壁钟
bizhu: 比诸
bizuo: 比作
bibo: 鄙薄、碧波、臂膊
bicheng: 鄙称
bilou: 鄙陋
bisu: 鄙俗
bida: 笔答
bidiao: 笔调
biduan: 笔端、弊端
bifa: 笔法
bifeng: 笔锋、避风
bigan: 笔杆
bigeng: 笔耕
bihui: 笔会、闭会、避讳
bilu: 笔录、毕露、闭路、壁炉
bimo: 笔墨
bishou: 笔受、匕首
bishun: 笔顺
bitan: 笔谈
bitao: 笔套
biting: 笔挺
bitong: 笔筒
bixia: 笔下、陛下
bixin: 笔心
bixing: 笔形
bizhe: 笔者
bian: 彼岸、编
bici: 彼此
bilan: 碧蓝
bima: 蓖麻
bizhang: 蔽障、臂章
bijing: 毕竟
bisheng: 毕生、必胜
biye: 毕业
bihu: 庇护、壁虎
biyou: 庇佑、必有
bizheng: 痹症
bihe: 闭合
bikou: 闭口
bimen: 闭门
bimu: 闭幕
bishang: 闭上、壁上、臂上
bizui: 闭嘴
piyao: 辟谣
bideng: 壁灯
bilei: 壁垒
bibang: 臂膀
bibu: 臂部
biguang: 避光
bikai: 避开
bimian: 避免
binan: 避难
birang: 避让
bishu: 避暑
bixian: 避嫌
bixie: 避邪、碧血
biyun: 避孕
biance: 鞭策
bianda: 鞭打
bianmao: 鞭毛、边贸
bianpao: 鞭炮
bianta: 鞭挞
bianzi: 鞭子、扁字、辫子
bianpo: 鞭笸
bianan: 边岸
biancheng: 边城、编成、编程、变成
bianfang: 边防
bianfeng: 边锋
bianfu: 边幅、蝙蝠、便服
bianguan: 边关、贬官
bianji: 边际、遍及、编辑
bianjiang: 边疆
bianjiao: 边角
bianjie: 边界、辩解
bianjing: 边境
bianqia: 边卡
biankuan: 边款
biankuang: 边框
bianlu: 边路
bianmen: 边门
bianmin: 边民、便民
bianqu: 边区
biansai: 边塞
bianwei: 边围、编委、变为
bianxian: 边线
bianyan: 边沿
bianyuan: 边缘、边远、扁圆
bianzhai: 边寨
bianchui: 边陲
bianchi: 贬斥、鞭笞
bianci: 贬词
biandi: 贬低、遍地
biansun: 贬损
bianyi: 贬义、编译、便衣、便宜、变异
bianze: 贬责
bianzhi: 贬值、编织、编制、贬职、变质
bianbai: 扁柏
biandan: 扁担
biandou: 扁豆
biantao: 扁桃
biantie: 扁铁
bianxing: 扁形、变形、变性
bianbu: 遍布
bianye: 遍野
biaobang: 标榜
biaoben: 标本
biaobing: 标兵
biaochi: 标尺、表尺
biaochu: 标出
biaode: 标的
biaodi: 标底、表弟
biaodian: 标点
biaoding: 标定
biaoduan: 标段
biaogan: 标杆
biaogao: 标高
biaohao: 标号
biaoji: 标记、表记
biaojia: 标价
biaoliang: 标量
biaoming: 标明、表明、标名
biaopai: 标牌
biaoqian: 标签
biaoqiang: 标枪
biaoshi: 标识、标示、表示
biaoshu: 标书、表述
biaoti: 标题
biaotu: 标图、表土
biaoxia: 标下
biaoyou: 标有
biaoyu: 标语、表语
biaozhi: 标志、表侄、标致
biaozhun: 标准
biaobai: 表白
biaoce: 表册
biaoceng: 表层
biaoda: 表达
biaodai: 表带
biaogai: 表盖
biaoge: 表哥、表格
biaogong: 表功
biaogu: 表姑
biaojie: 表姐
biaojue: 表决
biaoke: 表壳
biaolian: 表链
biaolu: 表露
biaolv: 表率
biaomei: 表妹
biaomian: 表面
biaopan: 表盘
biaopi: 表皮
biaoqin: 表亲
biaoqing: 表情
biaosao: 表嫂
biaotai: 表态
biaoxian: 表现
biaoxiang: 表项、表象
biaoxing: 表形
biaoxiong: 表兄
biaoyan: 表演
biaoyang: 表扬
biaozhang: 表彰
biaozhen: 表针
biebei: 别被
biecheng: 别称
biechu: 别处
biede: 别的
biedong: 别动
biegei: 别给
bieguan: 别管
bieguo: 别国
biehao: 别号
bieji: 别急
biejia: 别家
bieju: 别具
biekan: 别看
bieke: 别克
bieku: 别哭
bielai: 别来
bieli: 别离
bielun: 别论
bieming: 别名
bienian: 别念
bieniu: 别扭
biequ: 别去
bieren: 别人
bieshi: 别是
bieshu: 别墅
bieti: 别提
bieyang: 别样
bieyou: 别有
biezhen: 别针
biezhi: 别致
biezi: 别字
biezou: 别走
biezui: 别嘴
biegu: 瘪谷
biesan: 瘪三
biexie: 瘪屑
binlin: 濒临
binwei: 濒危
binyu: 濒于、宾语
binhai: 滨海
binjiang: 滨江
binguan: 宾馆
binke: 宾客
binpeng: 宾朋
binzhu: 宾主
binchi: 摈斥
binchu: 摈除
binqi: 摈弃
bingbian: 兵变、病变
bingding: 兵丁
bingfa: 兵法、并发
bingfen: 兵分
bingjia: 兵家、病家、病假
bingjian: 兵舰、兵谏、并肩
bingjiang: 兵将、并将
bingli: 兵力、病理、病历、病例、并立、并力
bingma: 兵马
bingpi: 兵痞
bingqi: 兵器、冰期、摒弃
bingshi: 兵士、冰释、病史、病逝、病势、病室、并是
bingshu: 兵书
bingtuan: 兵团
bingyi: 兵役、并已、并以
bingying: 兵营
bingyuan: 兵员、兵源、病员、病源、病院、病原
bingzhan: 兵站
bingzhong: 兵种、并重、病重
bingbao: 冰雹、并报、禀报
bingchuan: 冰川
bingchuang: 冰床、病床
bingdai: 冰袋
bingdao: 冰刀、冰岛、病倒
bingdeng: 冰灯
bingdian: 冰点
bingdiao: 冰雕
bingdong: 冰冻
bingfeng: 冰峰
binghao: 冰镐、病号
binggui: 冰柜
binggun: 冰棍
binghe: 冰河、并和、并合
bingjiao: 冰窖
bingjing: 冰晶、并经
bingkong: 冰孔
bingku: 冰库
bingkuai: 冰块
bingleng: 冰冷
bingliang: 冰凉
binglun: 冰轮、丙纶
bingping: 冰瓶
bingqiu: 冰球
bingshan: 冰山
bingshang: 冰上
bingshuang: 冰霜
bingshui: 冰水
bingtang: 冰糖
bingxiang: 冰箱、并向
bingxie: 冰鞋
bingxue: 冰雪
bingzhen: 冰镇
bingzhuan: 冰砖、并转
bingzhui: 冰锥
bingtuo: 冰坨
bingcuan: 冰镩
bingzhu: 柄竹、病猪
bingcheng: 秉承、并称
bingxing: 秉性、并行、禀性
bingzheng: 秉正、病征、病症
bingzhi: 秉直、病枝
liaowang: 瞭望
bingan: 病案、并按
bingcan: 病残
bingdu: 病毒
bingfang: 病房
binggen: 病根
binggu: 病故
binghai: 病害
bingju: 病句、并举
bingjun: 病菌
bingkuang: 病况
bingle: 病了
bingmo: 病魔
bingqing: 病情、并请
bingqu: 病区
bingren: 病人
bingrong: 病容
bingtai: 病态
bingti: 病体、并提
bingtong: 病痛、丙酮
bingtui: 病退
bingwei: 病危、并未
bingyin: 病因
bingyu: 病愈、并于
bingzao: 病灶
bingzhuang: 病状
bingta: 病榻
bingba: 并把
bingbu: 并不
bingchu: 并处
bingcong: 并从
bingcun: 并存
bingfei: 并非
bingjin: 并进
binglian: 并联
binglie: 并列
binglong: 并拢
bingmao: 并茂
bingneng: 并能
bingpai: 并排
bingqie: 并且
bingru: 并入
bingshuo: 并说
bingtun: 并吞
bingwang: 并网
bingwu: 并无
bingxu: 并需、并须
bingyao: 并要
bingyong: 并用
bingyou: 并由、并有
bingzai: 并在
bocai: 菠菜
bobao: 播报
bochu: 播出、拨出
bofa: 播发、勃发
bofang: 播放
bojiang: 播讲
bosa: 播撒
bosong: 播送
boyin: 播音、波音
boying: 播映
bozhong: 播种
bochang: 波长
bodang: 波荡
bodong: 波动、搏动、拨动
boduan: 波段
boen: 波恩
bofeng: 波峰
bofu: 波幅、伯父
bogu: 波谷、博古
bohei: 波黑
boji: 波及、搏击、簸箕
bolan: 波兰、波澜、博览
bolang: 波浪
bopu: 波谱
boshu: 波束、帛书
botao: 波涛
bowen: 波纹
boyuan: 波源
bozhe: 波折、波磔
boai: 博爱
boda: 博大
bobo: 勃勃、伯伯
boqi: 勃起
boran: 勃然
boxing: 勃兴、波形
bodou: 搏斗
bosha: 搏杀
bohua: 帛画
bozi: 脖子
bohai: 渤海
bodi: 泊地
bowei: 泊位
bude: 捕得、不得
buhuo: 捕获、不惑
bukuai: 捕快、不快
bulao: 捕捞
bulie: 捕猎
busha: 捕杀
bushi: 捕食、不失、不时、不识、不使、不是、不适
buyu: 捕鱼、哺育、补语、不虞、不予、不与
buzhuo: 捕捉
buru: 哺乳、补入、不如、步入
buyang: 哺养、补养、不扬
buban: 补办、部颁
bubao: 补报
bubi: 补笔、不比、不必
buchang: 补偿、不常、不长、不畅、部长
buchong: 补充
buding: 补丁、不定
bufa: 补发、不乏、不法、步伐
bugao: 补膏、不高、布告
bugei: 补给、不给
buguo: 补过、不过
bujia: 补假、不佳、不假
bujiao: 补交、补缴
bujiu: 补救、不久
bukao: 补考、不靠
buke: 补课、不可、不克
bule: 补了、不了
bulou: 补漏
buna: 补纳
bupiao: 补票
bupin: 补品
buqi: 补气、不齐
buque: 补缺、不缺
bushang: 补上、不上
bushen: 补肾、不深、不慎、布什
bushui: 补税
butai: 补胎、不太
butie: 补贴
buxi: 补习、不息、不惜
buxie: 补写、补血、不懈、不屑、布鞋
buxuan: 补选
buyao: 补药、不要
buyi: 补衣、补遗、补益、不一、不依、不宜、不已、不易、不意、不义、不移、布依
buzheng: 补正、不正
buzhu: 补助、不住
buzu: 补足、不足、部族
buai: 不爱
buan: 不安、不谙
buba: 不把
bubai: 不败
bubian: 不便、不变
bucai: 不才
buce: 不测
bucha: 不差
bucheng: 不成
buchi: 不齿、不啻
buchu: 不出
buchuai: 不揣
buci: 不辞
bucong: 不从
bucuo: 不错
buda: 不大
budan: 不丹、不单、不但
budang: 不当
budao: 不到
budeng: 不等
