fanyaofanyong.com 凡要凡庸
dongmaixie.com 动脉血
dongpeihe.com 动配合
dubixu.com 都必须
douzhengxing.com 斗争性
duzhizui.com 渎职罪
duchuangxing.com 独创性
dulixing.com 独立性
duanduande.com 短短的
duanqinei.com 短期内
duikangxing.com 对抗性
duofabing.com 多发病
duofangmian.com 多方面
duohuamian.com 多画面
duojianyu.com 多见于
duonianlai.com 多年来
duoniansheng.com 多年生
duowenzhong.com 多文种
duoyixing.com 多义性
eliuquan.com 扼流圈
erbushi.com 而不是
erzaiyu.com 而在于
erduanshi.com 二段式
ermianjiao.com 二面角
erniansheng.com 二年生
erqingju.com 二轻局
erxiangshi.com 二项式
eryanghua.com 二氧化
eryuansuan.com 二元酸
faanlv.com 发案率
fabiaoren.com 发标人
fabinglv.com 发病率
fadianliang.com 发电量
fahuopiao.com 发货票
fakanci.com 发刊词
famingjiang.com 发明奖
fayalv.com 发芽率
fazhandao.com 发展到
faxiachang.com 罚下场
fazhihua.com 法制化
fansheceng.com 反射层
fanshelv.com 反射率
fanyingre.com 反应热
fanyingshi.com 反应式
fanzhengfa.com 反证法
fanzhuanpian.com 反转片
fanzuoyong.com 反作用
fanzuilv.com 犯罪率
fanweinei.com 范围内
fangkuangtu.com 方框图
fangxiangxing.com 方向性
fangxiangjing.com 芳香烃
fangxiangyou.com 芳香油
fangshalin.com 防沙林
fangyuanzi.com 防原子
fangzhendu.com 仿真度
fanghuatuan.com 访华团
fangwentuan.com 访问团
feidangyuan.com 非党员
feijingti.com 非晶体
feimaoyi.com 非贸易
feipinlv.com 废品率、费品率
feidongmai.com 肺动脉
feijingmai.com 肺静脉
fenjieduan.com 分阶段
fenjieli.com 分解力
fenniejie.com 分蘖节
fennieqi.com 分蘖期
fenpeilv.com 分配律
fenpeiquan.com 分配权
fensandu.com 分散度
fensanxiang.com 分散相
fenyishang.com 分以上
fenziliang.com 分子量
fenzuhui.com 分组会
foujuequan.com 否决权
fubingyi.com 服兵役
fucongyu.com 服从于
fukuafeng.com 浮夸风
fusheneng.com 辐射能
fushere.com 辐射热
fuzhuxing.com 辅助性
fudianhe.com 负电荷
fuzezhi.com 负责制
fujiashui.com 附加税
fumianceng.com 附面层
fuzhaoli.com 附着力
fuzahua.com 复杂化
fuzaxing.com 复杂性
fubuchang.com 副部长
fuchangchang.com 副厂长
fudaibiao.com 副代表
fushanghan.com 副伤寒
futuanchang.com 副团长
fuwaichang.com 副外长
fuxianchang.com 副县长
fuyouxiang.com 副油箱
gaikuoxing.com 概括性
ganjiaomu.com 干酵母
ganshibiao.com 干湿表
ganxingyou.com 干性油
ganluchun.com 甘露醇
ganyouzhi.com 甘油酯
ganbushang.com 赶不上
ganguangzhi.com 感光纸
ganranlv.com 感染率
ganshouxing.com 感受性
gangchanliang.com 钢产量
gaochanliang.com 高产量
gaojingdu.com 高精度
gaoshangqu.com 搞上去
geminghua.com 革命化
geshuiceng.com 隔水层
gebufen.com 各部分
gebumen.com 各部门
gebuwei.com 各部委
gechushi.com 各处室
gedanwei.com 各单位
gejieceng.com 各阶层
gejunqu.com 各军区
geminzu.com 各民族
geqiye.com 各企业
geshengshi.com 各省市
geshixian.com 各市县
gexianqu.com 各县区
gexingye.com 各行业
geyuanxiao.com 各院校
gezongbu.com 各总部
genbenshang.com 根本上
genbenxing.com 根本性
genliujun.com 根瘤菌
genzhuangjing.com 根状茎
gengchangde.com 更长的
gengdade.com 更大的
gengduode.com 更多的
genggaode.com 更高的
gengkuaide.com 更快的
gengshaode.com 更少的
gengyinggai.com 更应该
gongbenfei.com 工本费
gongchengchuan.com 工程船
gongyeting.com 工业厅
gongzizhi.com 工资制
gongzixing.com 工字形
gongzuomian.com 工作面
gongzuoshang.com 工作上
gongbuyu.com 公布于
gongkaihua.com 公开化
gonglipao.com 公里跑
gongshiguan.com 公使馆
gongyinshi.com 公因式
gongyouhua.com 公有化
gongyingliang.com 供应量
gongedian.com 共轭点
gonghuannan.com 共患难
gongjiji.com 共基极
gongjiajian.com 共价键
gongxigang.com 共析钢
gubadui.com 古巴队
gurongti.com 固溶体
gubude.com 顾不得
gubushang.com 顾不上
guanxidao.com 关系到
guanshangxing.com 观赏性
guanzhongtai.com 观众台
guanjiazi.com 官架子
guanxingli.com 惯性力
guangdianguan.com 光电管
guangdianliu.com 光电流
guangjidu.com 光洁度
guangpuxian.com 光谱线
guangansuan.com 胱氨酸
guangfanxing.com 广泛性
guigongyu.com 归功于
guijiewei.com 归结为
guijiuyu.com 归咎于
guidingxing.com 规定性
guigehua.com 规格化
guilvxing.com 规律性
guofangfei.com 国防费
guojijian.com 国际间
guojishang.com 国际上
guojiafa.com 国家法
guojingxian.com 国境线
guoyouhua.com 国有化
guobanshu.com 过半数
hanshuiliang.com 含水量
hanyoulv.com 含油率
haodianliang.com 耗电量
hesudu.com 合速度
hezuohua.com 合作化
hezuozhi.com 合作制
hedaguo.com 核大国
heezha.com 核讹诈
hekuosan.com 核扩散
hezhanzheng.com 核战争
henianpian.com 贺年片
heichenchen.com 黑沉沉
heisuibing.com 黑穗病
heizhongren.com 黑种人
henbiyao.com 很必要
hennanshuo.com 很难说
hennenggou.com 很能够
henxinchang.com 狠心肠
henbuneng.com 恨不能
hengduanmian.com 横断面
honglingchong.com 红铃虫
houbanbu.com 后半部
huyushu.com 呼吁书
huguangdeng.com 弧光灯
huhuanxing.com 互换性
huxiangjian.com 互相间
hualunzu.com 滑轮组
huagongju.com 化工局
huaxueneng.com 化学能
huadenghao.com 划等号
huakuangkuang.com 划框框
huaideduo.com 坏得多
huanhusheng.com 欢呼声
huanbixu.com 还必须
huanbugou.com 还不够
huanbuneng.com 还不能
huankeneng.com 还可能
huanmeiyou.com 还没有
huanxuyao.com 还需要
huanliuqi.com 环流器
huanwanjing.com 环烷烃
huangqumei.com 黄曲霉
huanganmi.com 磺胺脒
huikoutie.com 灰口铁
huizhutie.com 灰铸铁
huichaolv.com 回潮率
huimiexing.com 毁灭性
hunzhuodu.com 浑浊度
huohuaneng.com 活化能
jidianbu.com 机电部
jicengshe.com 基层社
jichushang.com 基础上
jizhunmian.com 基准面
jishenyu.com 跻身于
jifatai.com 激发态
jitihua.com 集体化
jifangmian.com 几方面
jitianlai.com 几天来
jihuachu.com 计划处
jijingwei.com 计经委
jiliangju.com 计量局
jisuanzhan.com 计算站
jizhemen.com 记者们
jiduchu.com 季度初
jidumo.com 季度末
jiasubeng.com 加速泵
jiashuqu.com 家属区
jiajidui.com 甲级队
jiandingxing.com 坚定性
jianjuede.com 坚决的
jianjuxing.com 艰巨性
jianlisuo.com 监理所
jianmianshui.com 减免税
jianchazu.com 检查组
jianchachang.com 检察长
jianchashu.com 检察署
jianchating.com 检察厅
jianjuren.com 检举人
jianyuetai.com 检阅台
jianmingxing.com 简明性
jianjinshu.com 碱金属
jianpiaohou.com 见票后
jianxiqi.com 见习期
jianzhuyu.com 见诸于
jianshexing.com 建设性
jiangdaode.com 讲道德
jianghuazhong.com 讲话中
jiangpaichang.com 讲排场
jiangjinshui.com 奖金税
jiangshuiliang.com 降水量
jiangxueliang.com 降雪量
jiaotongjing.com 交通警
jiaoqunian.com 较去年
jiaowangnian.com 较往年
jiaosuofan.com 教唆犯
jiaowuchang.com 教务长
jieduanxing.com 阶段性
jiejixing.com 阶级性
jiexiaye.com 接下页
jiegouxing.com 结构性
jieyezheng.com 结业证
jiefangchu.com 解放初
jiezhuyu.com 借助于
jintiefei.com 津贴费
jinjiezhao.com 紧接着
jinpoxing.com 紧迫性
jinjitian.com 近几天
jinjiaoqu.com 近郊区
jinliangnian.com 近两年
jinqinei.com 近期内
jinsizhi.com 近似值
jinxienian.com 近些年
jingongxing.com 进攻性
jinkoushui.com 进口税
jinxingle.com 进行了
jingbuqi.com 经不起
jingchanghua.com 经常化
jingchangxing.com 经常性
jingdeqi.com 经得起
jingzhuangti.com 晶状体
jingquedu.com 精确度
jingtixing.com 警惕性
jingshouru.com 净收入
jingzhengxing.com 竞争性
jinglixue.com 静力学
jingmaixie.com 静脉血
jingpeihe.com 静配合
jiuqinian.com 九七年
jiuxiguan.com 旧习惯
jiubuneng.com 就不能
jiushishuo.com 就是说
jiuzaiyu.com 就在于
juxianxing.com 局限性
juceding.com 据测定
juancengyun.com 卷层云
juebuneng.com 决不能、绝不能
juebushi.com 决不是、绝不是
juedingxing.com 决定性
juexinshu.com 决心书
jueduihua.com 绝对化
jueduishu.com 绝对数
juemijian.com 绝密件
junfengji.com 军风纪
junledui.com 军乐队
junlieshu.com 军烈属
junzhengfu.com 军政府
junrelu.com 均热炉
qiabozi.com 卡脖子
qialaqi.com 卡拉奇
kaifafei.com 开发费
kaifaxing.com 开发性
kaifangxing.com 开放型、开放性
kaigonglv.com 开工率
kaihuming.com 开户名
kaihuxing.com 开户行
kaihuaqi.com 开花期
kaituoxing.com 开拓型
kanbuchu.com 看不出
kanbuguan.com 看不惯
kandechu.com 看得出
kangbaoxing.com 抗爆性
kangganrao.com 抗干扰
kangjingdian.com 抗静电
kangnixing.com 抗逆性
kaolvdao.com 考虑到
kaoqinbu.com 考勤簿
kexingjia.com 苛性钾
kexingjian.com 苛性碱
kexingna.com 苛性纳
kexuehua.com 科学化
kefenwei.com 可分为
keqiayin.com 可卡因
kenenghui.com 可能会
keranxing.com 可燃性
kerongxing.com 可溶性
keshina.com 可是那
kesuxing.com 可塑性
ketigong.com 可提供
keyuanzi.com 克原子
keguanshang.com 客观上
keguanxing.com 客观性
keyunliang.com 客运量
kongdiaoji.com 空调机
kongjugan.com 恐惧感
kongzhiqu.com 控制区
koutoushan.com 口头禅
kuchashi.com 苦差事
kuabumen.com 跨部门
kuadiqu.com 跨地区
kuaniandu.com 跨年度
kuaxingye.com 跨行业
kuanghuadu.com 矿化度
kuisune.com 亏损额
kuisunlv.com 亏损率
kuisunmian.com 亏损面
kuodahua.com 扩大化
kuodahui.com 扩大会
kuozhanqia.com 扩展卡
lahoutui.com 拉后腿
laibule.com 来不了
laiyuanyu.com 来源于
laodongliang.com 劳动量
laozike.com 劳资科
laokuangkuang.com 老框框
laoyanguang.com 老眼光
leimingban.com 雷鸣般
leiwuzi.com 类物资
lengbufang.com 冷不防
litieying.com 李铁映
lilunshang.com 理论上
lilunxing.com 理论性
lizuyu.com 立足于
ligaishui.com 利改税
lianguanxing.com 连贯性
lianxuxing.com 连续性
lianxidian.com 联系点
lianzhoujie.com 联轴节
liangdaoti.com 良导体
liangdianlun.com 两点论
liangfangmian.com 两方面
liangjiaogui.com 两脚规
liangzhongxing.com 两重性
liangreqi.com 量热器
liechechang.com 列车长
liejunshu.com 烈军属
liejielu.com 裂解炉
linshixing.com 临时性
linkuangfen.com 磷矿粉
linghuoxing.com 灵活性
lingjiayu.com 凌驾于
lingdaoceng.com 领导层
liutongliang.com 流通量
liuhoushou.com 留后手
liushouchu.com 留守处
liuxiale.com 留下了
lutiankuang.com 露天矿
luhuawu.com 卤化物
luxiangpian.com 录像片
lvsuanjia.com 氯酸钾
luanzhangjia.com 乱涨价
lvegaoyu.com 略高于
luotongshe.com 罗通社
luojixing.com 逻辑性
luoxuanxian.com 螺旋线
manzuyu.com 满足于
mangmuxing.com 盲目性
mangmangran.com 茫茫然
maoyiliang.com 贸易量
meigongjin.com 每公斤
meixuenian.com 每学年
menjianer.com 门槛儿
mishuchang.com 秘书长
mianxianwei.com 棉纤维
mianbule.com 免不了
mianlinzhao.com 面临着
miaodanxie.com 描淡写
minzhuhua.com 民主化
mingzhonglv.com 命中率
mobushi.com 莫不是
moguoyu.com 莫过于
muchanliang.com 亩产量
mudexing.com 目的性
neiqieyuan.com 内切圆
neiwubu.com 内务部
namener.com 纳闷儿
naijiuxing.com 耐久性
naimoxing.com 耐磨性
nannvdui.com 男女队
nanbeizhao.com 南北朝
nandaoshuo.com 难道说
naoluanzi.com 闹乱子
naoyijian.com 闹意见
nizuowei.com 拟作为
nidingli.com 逆定理
nimingti.com 逆命题
nianchanliang.com 年产量
nianchanzhi.com 年产值
nianjizu.com 年级组
nianlirun.com 年利润
nianpingjun.com 年平均
niantouer.com 年头儿
nianzongchan.com 年总产
nianjiexing.com 黏结性
niegesi.com 镍铬丝
ninmende.com 您们的
ningguji.com 凝固剂
nongnuzhi.com 农奴制
nongyeshui.com 农业税
nongsuoyou.com 浓缩铀
nulizhi.com 奴隶制
nvganbu.com 女干部
ouanhui.com 欧安会
ougongti.com 欧共体
paishuiliang.com 排水量
panbieshi.com 判别式
peitongtuan.com 陪同团
penshuikong.com 喷水孔
pianmianxing.com 片面性
pianxinlun.com 偏心轮
pianzhenguang.com 偏振光
pianzhenpian.com 偏振片
pianzhongyu.com 偏重于
pinyongzhi.com 聘用制
pinghengbiao.com 平衡表
pingjunjiang.com 平均奖
pinglugang.com 平炉钢
poqiexing.com 迫切性
qipianxing.com 欺骗性
qicishi.com 其次是
qizhongyou.com 其中有
qifaxing.com 启发性
qizuoyong.com 起作用
qichongchong.com 气冲冲
qikonglv.com 气孔率
qiquanpiao.com 弃权票
qianduoyuan.com 千多元
qianfenzhi.com 千分之、千分制
qianshemian.com 牵涉面
qianbujiu.com 前不久
qianfengxian.com 前锋线
qiantixia.com 前提下
qianxietian.com 前些天
qianyiduan.com 前一段
qianzhengfu.com 前政府
qiangjiayu.com 强加于
qiangzhixing.com 强制性
qianggoufeng.com 抢购风
qiebuke.com 切不可
qiexuejiao.com 切削角
qiexueli.com 切削力
qiexuemian.com 切削面
qinlvejun.com 侵略军
qingzhujiao.com 青贮窖
qingzhuangnian.com 青壮年
qingqingsuan.com 氢氰酸
qingyanghua.com 氢氧化
qinggongbu.com 轻工部
qinggongju.com 轻工局
qingxiejiao.com 倾斜角
qingxiemian.com 倾斜面
qinghuafa.com 氰化法
qingpishi.com 请批示
qiongkunhu.com 穷困户
qiongrizi.com 穷日子
qiuxiaoyi.com 求效益
qiuzhuyu.com 求助于
quyuxing.com 区域性
qujueyu.com 取决于
quyueyu.com 取悦于
quzhiyu.com 取之于
quanfanshe.com 全反射
quanmianxing.com 全面性
quanweixing.com 权威性
queshishi.com 确实是
qundaifeng.com 裙带风
qunzhongxing.com 群众性
rechuandao.com 热传导
redingxing.com 热定型
reguxing.com 热固性
rehujing.com 热乎劲
reminxing.com 热敏性
repengzhang.com 热膨胀
rerongliang.com 热容量
resuxing.com 热塑性
rexiaoying.com 热效应
rezhongyu.com 热衷于
rentoushui.com 人头税
renshidao.com 认识到
renshilun.com 认识论
renpibu.com 韧皮部
ribendui.com 日本队
richanliang.com 日产量
rongbude.com 容不得
ruzhuangye.com 乳状液
ruzhuoji.com 乳浊剂
ruzhuoye.com 乳浊液
ruchujing.com 入出境
ruxuelv.com 入学率
ruanlansan.com 软懒散
ruanrenwu.com 软任务
ruanruoxing.com 软弱性
ruanzhisuan.com 软脂酸
sandenggong.com 三等功
sanjiehe.com 三结合
sanyeqi.com 三叶期
sangmener.com 嗓门儿
shanposhang.com 山坡上
shanxinkuang.com 闪锌矿
shanyangfei.com 赡养费
shangbingyuan.com 伤病员
shangcanren.com 伤残人
shangjiandan.com 商检单
shangjianzhang.com 商检章
shangpinlv.com 商品率
shangbanbu.com 上半部
shangbannian.com 上半年
shangbanshi.com 上半时
shanggeyue.com 上个月
shangxiaji.com 上下级
shangxingqi.com 上星期
shehuizhong.com 社会中
shenqingren.com 申请人
shenmihua.com 神秘化
shenpanchang.com 审判长
shenpanquan.com 审判权
shenpanyuan.com 审判员
shentouxing.com 渗透性
shentouya.com 渗透压
shengchanguo.com 生产国
shengchanliang.com 生产量
shengchanxing.com 生产性
shengchanglv.com 生长率
shengchangqi.com 生长期
shengchengwu.com 生成物
shengxiaori.com 生效日
shengbuji.com 省部级
shengjiwei.com 省纪委
shengjunqu.com 省军区
shengneiwai.com 省内外
shengshiqu.com 省市区
shengxiashi.com 省辖市
shengdanqia.com 圣诞卡
shiluogan.com 失落感
shisanda.com 十三大
shihuishui.com 石灰水
shijianxing.com 时间性
shixiaoxing.com 时效性
shiyongxing.com 实用型、实用性
shisufei.com 食宿费
shiliangji.com 矢量积
shichangshang.com 市场上
shifanhu.com 示范户
shishengchan.com 试生产
shitanxing.com 试探性
shiyunxing.com 试运行
shiyunzhuan.com 试运转
shiyinwei.com 是因为
shipeiqia.com 适配卡
shiyingxing.com 适应性
shougoue.com 收购额
shougouliang.com 收购量
shoutishi.com 手提式
shouxianshi.com 首先是
shouxianyao.com 首先要
shouhuian.com 受贿案
shoushangzhe.com 受伤者
shoushoude.com 瘦瘦的
shubaofei.com 书报费
shumidu.com 疏密度
shubiaoqi.com 鼠标器
shuangguanyu.com 双关语
shuangguizhi.com 双轨制
shuangyuekan.com 双月刊
shuangzheshe.com 双折射
shuangzhigong.com 双职工
shuangzhongxing.com 双重性
shuangmeibing.com 霜霉病
shuidianbu.com 水电部
shuilihua.com 水利化
shuirongye.com 水溶液
shuobulai.com 说不来
shuobuqing.com 说不清
shuobushang.com 说不上
shuodaodi.com 说到底
shuojiahua.com 说假话
shuomingle.com 说明了
sijuji.com 司局级
siwuchang.com 司务长
sixiangshang.com 思想上
sixiangxing.com 思想性
siguiju.com 死规矩
sinanzhe.com 死难者
siwanglv.com 死亡率
siyingpai.com 死硬派
sibuwu.com 四步舞
sihushi.com 似乎是
songhuaqi.com 送话器
suxiaoxing.com 速效性
suanchuli.com 酸处理
suanshiyan.com 酸式盐
suanbule.com 算不了
taijiaqiu.com 胎甲球
taibeidui.com 台北队
taiwandui.com 台湾队
taizhonggang.com 台中港
tanluodu.com 坍落度
tanbianyi.com 贪便宜
tanwufan.com 贪污犯
tanwuzui.com 贪污罪
tanbushang.com 谈不上
tandeshang.com 谈得上
tanqinjia.com 探亲假
tansuanqing.com 碳酸氢
tanghuamei.com 糖化酶
tebieyao.com 特别要
tedianshi.com 特点是
tejijian.com 特急件
tigaodao.com 提高到
tiaoxinxing.com 挑衅性
tiaozhongdan.com 挑重担
tiaojianxia.com 条件下
tiecixing.com 铁磁性
tingjuchang.com 厅局长
tingjuji.com 厅局级
tingbujin.com 听不进
tongyongxing.com 通用性
tongshiqi.com 同时期
tongxingye.com 同行业
touloushui.com 偷漏税
touyinian.com 头一年
toushenyu.com 投身于
tufaxing.com 突发性
tupoxing.com 突破性
tuxingqia.com 图形卡
turangdai.com 土壤带
tuandangwei.com 团党委
tuanshiwei.com 团市委
tuanxiaozu.com 团小组
tuixiufei.com 退休费
waidanwei.com 外单位
waijieyuan.com 外接圆
waijingbu.com 外经部
waishichu.com 外事处
waixiangxing.com 外向型
waixiaoliang.com 外销量
wanhaolv.com 完好率
wanquanshi.com 完全是
wanshande.com 完善的
wanduoyuan.com 万多元
weixianxing.com 危险性
weibimian.com 为避免
weizuguo.com 为祖国
weizhangzhe.com 违章者
weiyuanchang.com 委员长
weiyuanmen.com 委员们
weishuqu.com 卫戍区
weishouli.com 未受理
weiwendian.com 慰问电
weiwenxin.com 慰问信
wenjiaoju.com 文教局
womendang.com 我们党
wufeishi.com 无非是
wujilv.com 无纪律
wukuiyu.com 无愧于
wulunshi.com 无论是
wushuangqi.com 无霜期
wuyizhong.com 无意中
wuyuanze.com 无原则
wubiqiao.com 五笔桥
wubixing.com 五笔型
wumalv.com 误码率
wurenwei.com 误认为
wuzilv.com 误字率
xifushui.com 吸附水
xishixing.com 吸湿性
xishuilv.com 吸水率
xiyansuan.com 稀盐酸
xiguanxing.com 习惯性
xiguanyu.com 习惯于
xilianjian.com 洗脸间
xiliehua.com 系列化
xitongde.com 系统的
xitongxing.com 系统性
xiabannian.com 下半年
xiabanshi.com 下半时
xiajielun.com 下结论
xiayiyuan.com 下议院
xiabudao.com 吓不倒
xiashizhi.com 夏时制
xianleqi.com 弦乐器
xianqiejiao.com 弦切角
xianranshi.com 显然是
xianshenshou.com 显身手
xianshichu.com 显示出
xianjieduan.com 现阶段
xianleiqi.com 现蕾期
xianpengzhang.com 线膨胀
xianfuqi.com 限幅器
xiangdianliu.com 相电流
xiangduishu.com 相对数
xiangduixing.com 相对性
xiangjiehe.com 相结合
xianglianxi.com 相联系
xiangshiying.com 相适应
xiangwenhe.com 相吻合
xiangyizhi.com 相一致
xiangyanger.com 象样儿
xiaofeiliang.com 消费量
xiaohaoliang.com 消耗量
xiaojiben.com 硝基苯
xiaohuozhang.com 销货帐
xiaoshengchan.com 小生产
xiaozuchang.com 小组长
xiaodangwei.com 校党委
xiediaohui.com 协调会
xinlishang.com 心理上
xinneimo.com 心内膜
xinwaimo.com 心外膜
xinyaner.com 心眼儿
xingongxian.com 新贡献
xinkaishe.com 新开设
xinshuiping.com 新水平
xinwenpian.com 新闻片
xinyongqia.com 信用卡
xingbutong.com 行不通
xingdongshang.com 行动上
xinglieshi.com 行列式
xingtaixue.com 形态学
xingxianghua.com 形象化
xiudingben.com 修订本
xiudinggao.com 修订稿
xiutielu.com 修铁路
xiuzhengan.com 修正案
xiuzhenggao.com 修正稿
xiujiawan.com 溴甲烷
xuyaoliang.com 需要量
xuliehua.com 序列化
xuanchuanxing.com 宣传性
xuanchuanyue.com 宣传月
xuanchuanzhou.com 宣传周
xuanfuye.com 悬浮液
xuanjufa.com 选举法
xuedaqing.com 学大庆
xuexianjin.com 学先进
xiesesu.com 血色素
xiexiaoban.com 血小板
xiexunhuan.com 血循环
xunhuanqi.com 循环气
xunhuansai.com 循环赛
yayigan.com 压抑感
yaliusuan.com 亚硫酸
yaxiaosuan.com 亚硝酸
yanshendu.com 延伸度
yansuxing.com 严肃性
yanzhongxing.com 严重性
yanjiande.com 眼见得
yangjini.com 阳极泥
yanglufei.com 养路费
yanghuagong.com 氧化汞
yanghuaya.com 氧化亚
yaokongyuan.com 遥控员
yaogenju.com 要根据
yaojixu.com 要继续
yaojiaqiang.com 要加强
yaokandao.com 要看到
yebuguo.com 也不过
yejiushi.com 也就是
yejinbu.com 冶金部
yishengzhong.com 一生中
yitoushou.com 一投手
yiciwei.com 依次为
yichuanxing.com 遗传性
yiduodun.com 亿多吨
yidingshu.com 议定书
yinzhijiang.com 银质奖
yinchaoli.com 引潮力
yingdangshuo.com 应当说
yingfende.com 应分得
yinggaishi.com 应该是
yinggeiyi.com 应给以
yinggeiyu.com 应给于
yingyinjian.com 影印件
yingshebei.com 硬设备
yongcailin.com 用材林
youqiyao.com 尤其要
youdianbu.com 邮电部
youbieyu.com 有别于
youbuzou.com 有步骤
youdaiyu.com 有待于
youdaode.com 有道德
youqiuyu.com 有求于
